ID,Elephant,Int,Date,LO,FF,AG,SO,SO2,EE,FE,ST,IN,OA,NV
,Aprila,6:30:00 AM,3/2/2020,,,,,,,,,1,,
,Komali,7:00:00 AM,3/2/2020,1,,,,,,,,,,
,Jati,7:00:00 AM,3/2/2020,1,,,,,,,,,,
,Gambir,7:00:00 AM,3/2/2020,,,,,,,,,1,,
,Intan,7:00:00 AM,3/2/2020,,,,,,,,,1,,
,Aprila,7:00:00 AM,3/2/2020,,,,,,,,,1,,
,Komali,7:30:00 AM,3/2/2020,,,,,,,,1,,,
,Jati,7:30:00 AM,3/2/2020,,,,,,,,1,,,
,Gambir,7:30:00 AM,3/2/2020,,,,,,,,,1,,
,Intan,7:30:00 AM,3/2/2020,,,,,,,,1,,,
,Aprila,7:30:00 AM,3/2/2020,,,,,,,,,1,,
,Komali,8:00:00 AM,3/2/2020,,,,,,,,1,,,
,Jati,8:00:00 AM,3/2/2020,,,,,,,,1,,,
,Gambir,8:00:00 AM,3/2/2020,,,,,,,,,1,,
,Intan,8:00:00 AM,3/2/2020,,,,,,,,1,,,
,Aprila,8:00:00 AM,3/2/2020,,,,,,,,,1,,
,Komali,8:30:00 AM,3/2/2020,,,,,,,,1,,,
,Jati,8:30:00 AM,3/2/2020,,,,,,,,1,,,
,Gambir,8:30:00 AM,3/2/2020,,,,,,,,1,,,
,Intan,8:30:00 AM,3/2/2020,,,,,,,,1,,,
,Aprila,8:30:00 AM,3/2/2020,,,,,,,,1,,,
,Komali,9:00:00 AM,3/2/2020,,,,,,,,1,,,
,Jati,9:00:00 AM,3/2/2020,,,,,,,,1,,,
,Gambir,9:00:00 AM,3/2/2020,,,,,,,,1,,,
,Intan,9:00:00 AM,3/2/2020,1,,,,,,,,,,
,Aprila,9:00:00 AM,3/2/2020,1,,,,,,,,,,
,Komali,9:15:00 AM,3/2/2020,,,,,,,1,,,,
,Jati,9:15:00 AM,3/2/2020,,,,,,,1,,,,
,Gambir,9:15:00 AM,3/2/2020,,1,,,,,,,,,
,Intan,9:15:00 AM,3/2/2020,,,,,1,,,,,,
,Aprila,9:15:00 AM,3/2/2020,,,,,1,,,,,,
,Komali,9:30:00 AM,3/2/2020,,,,,,,1,,,,
,Jati,9:30:00 AM,3/2/2020,,,,,,,1,,,,
,Gambir,9:30:00 AM,3/2/2020,,1,,,,,,,,,
,Intan,9:30:00 AM,3/2/2020,,,,,1,,,,,,
,Aprila,9:30:00 AM,3/2/2020,,,,,1,,,,,,
,Komali,9:45:00 AM,3/2/2020,,1,,,,,,,,,
,Jati,9:45:00 AM,3/2/2020,,1,,,,,,,,,
,Gambir,9:45:00 AM,3/2/2020,,1,,,,,,,,,
,Intan,9:45:00 AM,3/2/2020,,1,,,,,,,,,
,Aprila,9:45:00 AM,3/2/2020,,1,,,,,,,,,
,Komali,10:00:00 AM,3/2/2020,1,,,,,,,,,,
,Jati,10:00:00 AM,3/2/2020,,,,,,,,1,,,
,Gambir,10:00:00 AM,3/2/2020,,,,,1,,,,,,
,Intan,10:00:00 AM,3/2/2020,,,,,,,,1,,,
,Aprila,10:00:00 AM,3/2/2020,,,,,,,,,1,,
,Komali,10:30:00 AM,3/2/2020,,1,,,,,,,,,
,Jati,10:30:00 AM,3/2/2020,,,,,,,,1,,,
,Gambir,10:30:00 AM,3/2/2020,,,,,,,,1,,,
,Intan,10:30:00 AM,3/2/2020,,,,,,,,1,,,
,Aprila,10:30:00 AM,3/2/2020,,,,,,,,1,,,
,Komali,11:00:00 AM,3/2/2020,,,,,1,,,,,,
,Jati,11:00:00 AM,3/2/2020,,,,,,,,1,,,
,Gambir,11:00:00 AM,3/2/2020,,,,,,,,1,,,
,Intan,11:00:00 AM,3/2/2020,,,,,,,,1,,,
,Aprila,11:00:00 AM,3/2/2020,,,,,,,,,1,,
,Komali,11:30:00 AM,3/2/2020,1,,,,,,,,,,
,Jati,11:30:00 AM,3/2/2020,,,,,,,1,,,,
,Gambir,11:30:00 AM,3/2/2020,,,,,,,1,,,,
,Intan,11:30:00 AM,3/2/2020,,,,,,,,1,,,
,Aprila,11:30:00 AM,3/2/2020,,,,,,,,1,,,
,Komali,11:45:00 AM,3/2/2020,,,,,1,,,,,,
,Jati,11:45:00 AM,3/2/2020,,,,,1,,,,,,
,Gambir,11:45:00 AM,3/2/2020,,,,,1,,,,,,
,Intan,11:45:00 AM,3/2/2020,,,,,,,,,1,,
,Aprila,11:45:00 AM,3/2/2020,,,,,,,,,1,,
,Komali,12:00:00 PM,3/2/2020,,,,,,,,1,,,
,Jati,12:00:00 PM,3/2/2020,,,,,,,,1,,,
,Gambir,12:00:00 PM,3/2/2020,,,,,,,,1,,,
,Intan,12:00:00 PM,3/2/2020,,,,,,,,1,,,
,Aprila,12:00:00 PM,3/2/2020,,,,,,,,1,,,
,Komali,12:30:00 PM,3/2/2020,,1,,,,,,,,,
,Jati,12:30:00 PM,3/2/2020,,1,,,,,,,,,
,Gambir,12:30:00 PM,3/2/2020,,1,,,,,,,,,
,Intan,12:30:00 PM,3/2/2020,,1,,,,,,,,,
,Aprila,12:30:00 PM,3/2/2020,,1,,,,,,,,,
,Komali,1:00:00 PM,3/2/2020,,1,,,,,,,,,
